t,s,v,a
0,0.00000,0.00000,0.00000
1.875,0.00001,0.00002,0.02900
3.75,0.00014,0.00014,0.11200
5.625,0.00067,0.00047,0.24300
7.5,0.00207,0.00108,0.41600
9.375,0.00494,0.00205,0.62500
11.25,0.01002,0.00344,0.86400
13.125,0.01815,0.00531,1.12700
15,0.03024,0.00768,1.40800
16.875,0.04729,0.01059,1.70100
18.75,0.07031,0.01406,2.00000
20.625,0.10037,0.01809,2.29900
22.5,0.13851,0.02268,2.59200
24.375,0.18576,0.02781,2.87300
26.25,0.24310,0.03344,3.13600
28.125,0.31146,0.03955,3.37500
30,0.39168,0.04608,3.58400
31.875,0.48449,0.05297,3.75700
33.75,0.59049,0.06014,3.88800
35.625,0.71015,0.06752,3.97100
37.5,0.84375,0.07500,4.00000
39.375,0.99140,0.08248,3.97100
41.25,1.15300,0.08986,3.88800
43.125,1.32820,0.09703,3.75700
45,1.51670,0.10392,3.58400
46.875,1.71770,0.11045,3.37500
48.75,1.93060,0.11656,3.13600
50.625,2.15450,0.12219,2.87300
52.5,2.38850,0.12732,2.59200
54.375,2.63160,0.13191,2.29900
56.25,2.88280,0.13594,2.00000
58.125,3.14100,0.13941,1.70100
60,3.40520,0.14232,1.40800
61.875,3.67440,0.14469,1.12700
63.75,3.94750,0.14656,0.86400
65.625,4.22370,0.14795,0.62500
67.5,4.50210,0.14892,0.41600
69.375,4.78190,0.14953,0.24300
71.25,5.06260,0.14986,0.11200
73.125,5.34380,0.14998,0.02900
75,5.62500,0.15000,0
210.83,26,0.15,0
346.67,46.375,0.15,0
482.5,66.75,0.15,0
618.33,87.125,0.15,0
754.17,107.5,0.15,0
890,127.87,0.15,0
1025.8,148.25,0.15,0
1161.7,168.63,0.15,0
1297.5,189,0.15,0
1433.3,209.38000,0.15000,0
1435.2,209.66000,0.14998,-0.02900
1437.1,209.94000,0.14986,-0.11200
1439,210.22000,0.14953,-0.24300
1440.8,210.50000,0.14892,-0.41600
1442.7,210.78000,0.14795,-0.62500
1444.6,211.05000,0.14656,-0.86400
1446.5,211.33000,0.14469,-1.12700
1448.3,211.59000,0.14232,-1.40800
1450.2,211.86000,0.13941,-1.70100
1452.1,212.12000,0.13594,-2.00000
1454,212.37000,0.13191,-2.29900
1455.8,212.61000,0.12732,-2.59200
1457.7,212.85000,0.12219,-2.87300
1459.6,213.07000,0.11656,-3.13600
1461.5,213.28000,0.11045,-3.37500
1463.3,213.48000,0.10392,-3.58400
1465.2,213.67000,0.09703,-3.75700
1467.1,213.85000,0.08986,-3.88800
1469,214.01000,0.08248,-3.97100
1470.8,214.16000,0.07500,-4.00000
1472.7,214.29000,0.06752,-3.97100
1474.6,214.41000,0.06014,-3.88800
1476.5,214.52000,0.05297,-3.75700
1478.3,214.61000,0.04608,-3.58400
1480.2,214.69000,0.03955,-3.37500
1482.1,214.76000,0.03344,-3.13600
1484,214.81000,0.02781,-2.87300
1485.8,214.86000,0.02268,-2.59200
1487.7,214.90000,0.01809,-2.29900
1489.6,214.93000,0.01406,-2.00000
1491.5,214.95000,0.01059,-1.70100
1493.3,214.97000,0.00768,-1.40800
1495.2,214.98000,0.00531,-1.12700
1497.1,214.99000,0.00344,-0.86400
1499,215.00000,0.00205,-0.62500
1500.8,215.00000,0.00108,-0.41600
1502.7,215.00000,0.00047,-0.24300
1504.6,215.00000,0.00014,-0.11200
1506.5,215.00000,0.00002,-0.02900
1508.3,215.00000,0.00000,0.00000
